Name;Country;UN_regional_group;System_of_Government;First_day_in_office;Last_day_in_office;Alma_mater;Location;Field_of_study;Source;Access_date 
Gaston Alfonso Browne;Antigua and Barbuda;GRULAC;Parliamentarism;13/06/2014;-;City Banking College ;United Kingdom;Banking;https://web.archive.org/web/20140715095306/http://www.caricom.org/jsp/community/antigua_barbuda.jsp?null&prnf=1;08/11/2022
Gaston Alfonso Browne;Antigua and Barbuda;GRULAC;Parliamentarism;13/06/2014;-;University of Manchester;United Kingdom;Finance (MA);https://web.archive.org/web/20140715095306/http://www.caricom.org/jsp/community/antigua_barbuda.jsp?null&prnf=2;08/11/2022
Winston Baldwin Spencer ;Antigua and Barbuda;GRULAC;Parliamentarism;24/08/2004;13/06/2014;Coady International Institute ;Canada;Social Leadership ;http://www.caribbeanelections.com/knowledge/biography/bios/spencer_baldwin.asp;08/11/2022
Winston Baldwin Spencer ;Antigua and Barbuda;GRULAC;Parliamentarism;24/08/2004;13/06/2014;Ruskin College ;United Kingdom;Labour and Economic Studies ;East, R., & Thomas, R.J. (2003). Profiles of People in Power: The World's Government Leaders (1st ed.). Routledge. https://doi.org/10.4324/9781315759517;08/11/2022
Winston Baldwin Spencer ;Antigua and Barbuda;GRULAC;Parliamentarism;24/08/2004;13/06/2014;Oslo University;Norway;Labour and Industrial Relation Systems ;East, R., & Thomas, R.J. (2003). Profiles of People in Power: The World's Government Leaders (1st ed.). Routledge. https://doi.org/10.4324/9781315759517;08/11/2022
Lester Bryant Bird ;Antigua and Barbuda;GRULAC;Parliamentarism;09/03/1994;24/08/2004;University of Michigan;United States;-;East, R., & Thomas, R.J. (2003). Profiles of People in Power: The World's Government Leaders (1st ed.). Routledge. https://doi.org/10.4324/9781315759517;08/11/2022
Vere Bird;Antigua and Barbuda;GRULAC;Parliamentarism;01/11/1981;09/03/1994;-;-;-;http://www.caribbeanelections.com/knowledge/biography/bios/bird_vere.asp;08/11/2022
Mauricio Macri;Argentina;GRULAC;Presidentialism;10/12/2015;10/12/2019;Catholic University of Argentina;Argentina;Civil engineering ;https://www.casarosada.gob.ar/international/the-president/biography;08/11/2022
Mauricio Macri;Argentina;GRULAC;Presidentialism;10/12/2015;10/12/2019;Columbia University;United States;-;https://www.casarosada.gob.ar/international/the-president/biography;08/11/2022
Cristina Fernández de Kirchner;Argentina;GRULAC;Presidentialism;10/12/2007;10/12/2015;National University of La Plata;Argentina;Law;https://www.lanacion.com.ar/politica/bonadio-sobreseyo-a-cristina-kirchner-por-su-titulo-de-abogada-nid1906402/;08/11/2022
Néstor Kirchner;Argentina;GRULAC;Presidentialism;25/05/2003;10/12/2007;National University of La Plata;Argentina;Law;https://www.clarin.com/gobierno/chico-formado-implacables-vientos-sur_0_ByWmTQs6wQx.html;08/11/2022
Eduardo Duhalde;Argentina;GRULAC;Presidentialism;02/01/2002;25/05/2003;University of Buenos Aires;Argentina;Law;East, R., & Thomas, R.J. (2003). Profiles of People in Power: The World's Government Leaders (1st ed.). Routledge. https://doi.org/10.4324/9781315759517;08/11/2022
Adolfo Rodríguez Saá;Argentina;GRULAC;Presidentialism;23/12/2001;30/12/2001;University of Buenos Aires;Argentina;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/argentina/adolfo_rodriguez_saa;08/11/2022
Fernando de la Rúa;Argentina;GRULAC;Presidentialism;10/12/1999;21/12/2001;National University of Córdoba;Argentina;Law;https://www.lanacion.com.ar/politica/sereno-y-distante-de-la-rua-cuenta-por-que-se-fue-nid416029/;08/11/2022
Carlos Menem;Argentina;GRULAC;Presidentialism;08/07/1989;10/12/1995;National University of Córdoba;Argentina;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/argentina/carlos_menem;08/11/2022
Hubert Minnis;Bahamas, The;GRULAC;Parliamentarism;11/05/2017;17/09/2021;University of Minnesota ;United States;Biology;http://www.caribbeanelections.com/knowledge/biography/bios/minnis_hubert.asp;08/11/2022
Hubert Minnis;Bahamas, The;GRULAC;Parliamentarism;11/05/2017;17/09/2021;University of the West Indies;Jamaica;Medicine ;http://www.caribbeanelections.com/knowledge/biography/bios/minnis_hubert.asp;08/11/2022
Perry Gladstone Christie;Bahamas, The;GRULAC;Parliamentarism;08/05/2012;11/05/2017;Birmingham University;United Kingdom;Law;http://www.caribbeanelections.com/knowledge/biography/bios/christie_perry.asp;08/11/2022
Hubert Ingraham;Bahamas, The;GRULAC;Parliamentarism;04/05/2007;08/05/2012;-;-;-;http://www.caribbeanelections.com/knowledge/biography/bios/ingraham_hubert.asp;08/11/2022
Perry Gladstone Christie;Bahamas, The;GRULAC;Parliamentarism;03/04/2002;04/05/2007;Birmingham University;United Kingdom;Law;http://www.caribbeanelections.com/knowledge/biography/bios/christie_perry.asp;08/11/2022
Hubert Ingraham;Bahamas, The;GRULAC;Parliamentarism;21/08/1992;03/05/2002;-;-;-;http://www.caribbeanelections.com/knowledge/biography/bios/ingraham_hubert.asp;08/11/2022
Freundel Stuart;Barbados;GRULAC;Parliamentarism;23/10/2010;25/05/2018;University of the West Indies - Cave Hill;Barbados;Political Science and History ;http://www.caribbeanelections.com/knowledge/biography/bios/stuart_freundel.asp;08/11/2022
David Thompson;Barbados;GRULAC;Parliamentarism;16/01/2008;23/10/2010;University of the West Indies - Cave Hill;Barbados;Law;http://www.caribbeanelections.com/knowledge/biography/bios/thompson_david.asp;08/11/2022
David Thompson;Barbados;GRULAC;Parliamentarism;16/01/2008;23/10/2010;University of the West Indies - St. Augustine Campus;Trinidad and Tobago;Law;http://www.caribbeanelections.com/knowledge/biography/bios/thompson_david.asp;08/11/2022
Owen Seymour Arthur;Barbados;GRULAC;Parliamentarism;06/09/1994;15/01/2008;University of the West Indies - Cave Hill;Barbados;Economics;http://www.caribbeanelections.com/knowledge/biography/bios/arthur_owen.asp;08/11/2022
